,GATA3,IL13,IFNg,IL4,IL10,PD1,Perforin,TNF,Ki67
62682x_aNil_024.fcs,358,1957,2164,646,1538,782,1856,2391,1368
"62682x_cE,2f,C_026.fcs",362,1699,2373,564,1407,743,1991,2563,1642
62682x_dCD3_027.fcs,356,2140,1987,682,1751,877,1822,3286,1389
212231_BCG_019.fcs,389,2639,1794,755,1453,634,1538,4398,1529
212231_aNil_018.fcs,355,4074,1761,745,1558,745,1674,2644,1325
"212231_cE,2f,C_020.fcs",387,4872,1884,750,1639,666,1512,4841,1561
212231_dCD3_021.fcs,360,1055,1860,705,1748,860,1515,2355,1677
212231_eHIV_022.fcs,358,888,1979,774,1538,689,1555,2495,1594
16811_BCG_019.fcs,437,3120,1506,737,2037,764,990,5404,1381
16811_aNil_018.fcs,387,1261,1621,519,1532,727,912,2332,1481
"16811_cE,2f,C_020.fcs",391,3590,1535,893,1386,807,899,3894,1456
16811_dCD3_021.fcs,406,1278,1467,831,1649,732,1348,2934,1350
16811_eHIV_022.fcs,532,3731,1526,510,888,767,982,2712,1386
113011_BCG_024.fcs,362,3942,2519,611,2164,730,1193,3476,1386
113011_aNil_023.fcs,396,8620,2447,781,2099,848,871,3101,1585
"113011_cE,2f,C_025.fcs",421,4435,2461,1112,1991,824,906,3028,1594
113011_dCD3_026.fcs,362,1225,2619,606,2210,689,1038,2505,1360
113011_eHIV_027.fcs,481,6015,2563,263,1235,823,1161,2355,1495
125711_BCG_029.fcs,383,2639,1902,1097,2588,687,1371,3902,1413
125711_aNil_028.fcs,384,5750,1987,950,1835,694,1348,2364,1448
"125711_cE,2f,C_031.fcs",360,3525,2040,1218,2328,703,1340,3483,1453
125711_dCD3_030.fcs,354,1032,1972,760,1521,697,1273,2185,1242
125711_eHIV_032.fcs,438,3590,1939,304,1330,732,1300,2193,1451
127711_BCG_044.fcs,395,8262,2782,1106,1867,725,1661,6972,1310
127711_aNil_043.fcs,350,10747,2495,1125,2283,912,1754,2314,1410
"127711_cE,2f,C_045.fcs",360,7680,2739,801,2111,789,1603,6432,1424
127711_dCD3_046.fcs,365,1437,2744,1350,2495,800,1609,3070,1290
127711_eHIV_047.fcs,392,9156,2905,348,1315,782,1526,2206,1394
129010_BCG_035.fcs,396,3708,2214,486,1699,750,1132,2832,1358
129010_aNil_034.fcs,407,2301,2495,700,1771,978,2123,2189,1310
"129010_cE,2f,C_036.fcs",447,6308,2686,775,1397,840,2136,3259,1320
129010_dCD3_037.fcs,374,1815,2377,608,3052,717,1076,2544,1327
114810_BCG_024.fcs,350,5976,2723,488,705,772,943,12438,1822
114810_aNil_023.fcs,355,1108,2400,769,31114,732,1415,3227,1612
"114810_cE,2f,C_025.fcs",349,2424,2346,249,591,828,1000,5393,1910
114810_dCD3_026.fcs,355,1881,1544,697,2091,682,1000,3612,1470
114810_eIL12_027.fcs,349,2922,2539,1084,31945,803,960,2410,2040
122410_BCG_019.fcs,350,10699,2500,826,931,708,892,9795,1791
122410_aNil_018.fcs,372,2471,2457,837,28614,937,1179,2676,1470
"122410_cE,2f,C_020.fcs",352,10506,2279,682,17165,712,910,4751,1677
122410_dCD3_021.fcs,372,1811,1906,899,1478,630,1055,4371,1501
122410_eIL12_022.fcs,350,3221,2573,808,20617,705,937,3022,1588
13210_aNil_018.fcs,,,1261,1983,1451,718,1492,3511,1283
13210_bBCG_019.fcs,,,1072,1920,935,712,1979,2981,1242
"13210_cE,2f,C_020.fcs",,,732,1535,674,717,1044,2940,1209
13210_dCD3_021.fcs,,,1186,1680,434,781,1227,3942,1305
14711_aNil_024.fcs,,,525,2064,954,692,1038,11070,1606
14711_bBCG_025.fcs,,,782,2452,880,614,1061,2539,1104
"14711_cE,2f,C_026.fcs",,,3902,2405,770,611,893,8099,1389
14711_dCD3_027.fcs,,,1227,2111,641,633,1597,4751,1312
14711_gHIV_030.fcs,,,681,2691,663,596,980,n/a,1223
229110_aNil_037.fcs,,,1177,2341,593,801,1179,2156,1360
229110_bBCG_038.fcs,,,3863,2214,510,752,1199,6559,1330
"229110_cE,2f,C_039.fcs",,,2928,2249,673,786,1168,3259,1297
229110_dCD3_040.fcs,,,1345,1609,625,663,1521,3590,1292
23320_aNil_041.fcs,,,1242,3113,345,927,1529,3746,2928
23320_bBCG_042.fcs,,,3590,2877,329,774,1624,6488,2969
23320_cCD3_043.fcs,,,3058,2660,369,821,1579,7446,3132
32211_hHIV_034.fcs,,,958,2164,451,765,1667,3246,2624
32211_iNil FMO_035.fcs,,,2346,2433,320,879,1278,3441,3716
22804x_aNil_025.fcs,,,810,1312,395,800,1953,2849,1123
22804x_bBCG_026.fcs,,,3626,1302,378,738,2006,3777,1125
"22804x_cE,2f,C_027.fcs",,,842,1268,451,781,1798,1506,1143
